Variable Name,Population,Electrification,Transport (Rail),Agricultural Production,Patents,# Coal or Metal Miners,Total Corporations,% Agriculture Corps,% Manufacturing Corps,GDP Per Capita,,
Units,(In thousands of People),(Thousands of Kilowatts),(Operational Kilometers),(Harvested tons of Food),(Total Cases Registered),(# of Primary Miners),(# of registered corps.),(% Corps that are agri.),(% Corpos that manu),(in millions 2011 $USD),,
Source URL,https://warp.da.ndl.go.jp/info:ndljp/pid/11423429/www.stat.go.jp/english/data/chouki/02.html,https://warp.da.ndl.go.jp/info:ndljp/pid/11423429/www.stat.go.jp/english/data/chouki/10.html,https://warp.da.ndl.go.jp/info:ndljp/pid/11423429/www.stat.go.jp/english/data/chouki/12.html,https://warp.da.ndl.go.jp/info:ndljp/pid/11423429/www.stat.go.jp/english/data/chouki/07.html,https://warp.da.ndl.go.jp/info:ndljp/pid/11423429/www.stat.go.jp/english/data/chouki/17.html,https://warp.da.ndl.go.jp/info:ndljp/pid/11423429/www.stat.go.jp/english/data/chouki/08.html,https://warp.da.ndl.go.jp/info:ndljp/pid/11423429/www.stat.go.jp/english/data/chouki/06.html,https://warp.da.ndl.go.jp/info:ndljp/pid/11423429/www.stat.go.jp/english/data/chouki/06.html,https://warp.da.ndl.go.jp/info:ndljp/pid/11423429/www.stat.go.jp/english/data/chouki/06.html,https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018?lang=en,x,x
Year,,,,,,,,,,,,
1872,"34,806",...,29,...,...,...,...,...,...,996,,
1873,"34,985",...,29,...,...,...,...,...,...,1003,,
1874,"35,154",...,62,...,...,...,...,...,...,1010,,
1875,"35,316",...,62,...,...,...,...,...,...,1082,,
1876,"35,555",...,105,...,...,...,...,...,...,1048,,
1877,"35,870",...,105,...,...,...,...,...,...,1072,,
1878,"36,166",...,105,"3,792,000",...,...,...,...,...,1060,,
1879,"36,464",...,118,"4,753,000",...,...,...,...,...,1116,,
1880,"36,649",...,158,"4,715,000",...,...,...,...,...,1153,,
1881,"36,965",...,197,"4,487,000",...,...,...,...,...,1108,,
1882,"37,259",...,275,"4,560,000",...,...,...,...,...,1127,,
1883,"37,569",...,292,"4,587,000",...,...,...,...,...,1118,,
1884,"37,962",...,292,"4,070,000",...,...,...,...,...,1116,,
1885,"38,313",...,360,"5,106,000","1,048",...,...,...,...,1149,,
1886,"38,541",...,426,"5,583,000",713,...,...,...,...,1224,,
1887,"38,703",...,484,"6,004,000",470,...,...,...,...,1271,,
1888,"39,029",...,814,"5,803,000",619,...,...,...,...,1201,,
1889,"39,473",...,984,"4,957,000",895,...,...,...,...,1246,,
1890,"39,902",...,984,"6,463,000",905,...,...,...,...,1351,,
1891,"40,251",...,984,"5,727,000","1,038",...,...,...,...,1277,,
1892,"40,508",...,984,"6,214,000","1,015",...,...,...,...,1352,,
1893,"40,860",...,995,"5,590,000","1,025","83,819",...,...,...,1347,,
