Year,pop,prodElectric,lenRail,prodAgr,numPatents,numMiners,numCorps,propAgr,propManu,gdpPerCap
1903,45546,44,2262,6971000,3800,149800,10768,0.0126,0.2393,1593
1904,46135,59,2449,7715000,3738,157463,10694,0.0137,0.2393,1587
1905,46620,74,2562,5726000,5496,148366,10620,0.0144,0.2416,1545
1906,47038,91,4978,6945000,9035,180340,10715,0.0136,0.2431,1732
1907,47416,115,7153,7358000,9482,205493,11466,0.0141,0.2480,1770
1908,47965,155,7311,7790000,10040,196432,12899,0.0154,0.2516,1761
1909,48554,182,7442,7866000,10372,226620,13862,0.0144,0.2591,1737
1910,49184,258,7838,6995000,10766,212203,14926,0.0127,0.2537,1741
1911,49852,322,8118,7757000,13214,218026,16340,0.0127,0.2552,1810
1912,50577,462,8396,7533000,12237,226123,17820,0.0142,0.2689,1848
1913,51305,597,8807,7539000,13465,251925,19588,0.0144,0.2680,1852
1914,52039,716,9156,8551000,15016,259851,20969,0.0145,0.2645,1772
1915,52752,772,9268,8389000,14557,279501,22204,0.0142,0.2682,1909
1916,53496,805,9429,8768000,13804,337182,23696,0.0142,0.2766,2177
1917,54134,876,9659,8185000,11944,415295,25981,0.0159,0.2915,2224
1918,54739,984,9781,8205000,14550,448119,30601,0.0161,0.3133,2228
1919,55033,1133,9991,9123000,18584,449040,37424,0.0164,0.3208,2440
1920,55473,1378,10436,9481000,20553,421715,42488,0.0173,0.3309,2265
1921,55963,1527,10821,8277000,28032,313037,45190,0.0164,0.3194,2483
1922,56666,1779,11275,9104000,18700,289102,41215,0.0173,0.3317,2446
1923,57390,2063,11805,8317000,13202,320742,44183,0.0176,0.3058,2416
1924,58119,2237,12148,8576000,12357,293430,43702,0.0178,0.2980,2452
1925,58876,2768,12593,8956000,32505,297759,45275,0.0187,0.2863,2518
1926,59737,3203,12864,8339000,27505,281967,46813,0.0184,0.2819,2500
1927,60741,3467,13394,9315000,27687,284823,49990,0.0187,0.2744,2497
1928,61659,3822,13695,9045000,31143,282536,53113,0.0199,0.2686,2661
1929,62595,4194,14152,8934000,32589,302073,57207,0.0199,0.2606,2705
1930,63461,4500,14575,10031000,34233,276207,63553,0.0211,0.2541,2471
1931,64450,4687,15014,8282000,33098,215899,71965,0.0221,0.2437,2454
1932,65457,4911,15372,9059000,31977,199698,77729,0.0244,0.2429,2620
1933,66434,5042,15845,10624000,38129,214539,83128,0.0251,0.2421,2835
1934,67432,5315,16535,7776000,36303,249881,88523,0.0253,0.2452,2802
1935,68309,5757,17138,8619000,38500,271635,94592,0.0243,0.2536,2832
1936,69254,6543,17530,10101000,41308,308448,96250,0.0233,0.2629,2994
1937,70114,6977,17934,9948000,38001,359202,92255,0.0220,0.2743,3084
1938,70630,7560,18179,9880000,40484,433578,87844,0.0204,0.2901,3259
1939,71013,8313,18298,10345000,45166,495728,88835,0.0178,0.3076,3743
1940,71380,9073,18400,9131000,41673,545070,91028,0.0146,0.3208,3815
1941,71933,9429,18496,8263000,40616,542723,97203,0.0118,0.3382,3809
1942,72218,9555,18581,10016000,33251,574806,101939,0.0101,0.3788,3732
1943,72880,9741,19726,9433000,25451,583371,102819,0.0095,0.4399,3732
1944,73903,9900,20056,8784000,25536,634269,102316,0.0090,0.4841,3512
1945,74433,10385,19620,5872000,6061,366849,95773,0.0092,0.5044,1776
1946,72147,10449,19692,9208000,10439,535479,106401,0.0081,0.5422,1903
1947,75750,10524,19752,8798000,7576,610916,144367,0.0066,0.5537,2028
1948,78101,10649,19760,9966000,9882,628202,177490,0.0053,0.5610,2268
1949,80002,10725,19765,9383000,20286,551255,207898,0.0050,0.5387,2363
1950,81773,10771,19786,9651000,32434,475436,238531,0.0089,0.4307,2519
1951,83200,10839,19850,9042000,36362,495226,260465,0.0077,0.4078,2853
1952,84541,11256,19903,9923000,35309,503610,302286,0.0064,0.3770,3086
1953,85808,12334,20008,8239000,42062,491107,362160,0.0059,0.3516,3217
1954,86981,13324,20046,9113000,50248,426369,394706,0.0056,0.3425,3357
1955,88239,14509,20093,12385000,52085,360379,411997,0.0054,0.3386,3631
1956,89276,15451,20186,10899000,57666,373963,438224,0.0054,0.3342,3841
1957,90172,16845,20276,11464000,57045,387631,436867,0.0058,0.3315,4067
1958,90928,18373,20357,11993000,64109,442554,477163,0.0057,0.3287,4324
1959,91767,21243,20402,12501000,60751,414995,503034,0.0052,0.3091,4652
1960,92641,23657,20482,12858000,69753,390256,539429,0.0051,0.3075,5185
1961,93419,25951,20519,12419000,87230,343673,578241,0.0057,0.3232,5730
1962,94287,29156,20516,13009000,85828,283119,624322,0.0061,0.3244,6261
1963,95181,34283,20665,12812000,96159,226092,662471,0.0069,0.3237,6668
1964,96156,38060,20741,12584000,98382,214185,713190,0.0078,0.3189,7371
1965,97182,41005,20754,12409000,106816,204001,752536,0.0086,0.3130,7753
1966,98275,44814,20783,12745000,105270,189378,799390,0.0090,0.3063,8526
1967,99036,49544,20775,14453000,96604,164033,843491,0.0100,0.3007,9364
1968,100196,53186,20827,14449000,105527,152208,898276,0.0106,0.2961,10536
1969,101331,59481,20834,14003000,120210,122784,943822,0.0109,0.2925,11753
1970,102536,68261,20890,12689000,129480,103037,986825,0.0111,0.2899,12904
1971,103720,76475,20883,10887000,155275,88203,1058102,0.0111,0.2835,13521
1972,104665,85296,20924,11889000,165062,72051,1128761,0.0111,0.2753,14548
1973,106100,95502,21099,12144000,171958,55648,1209323,0.0112,0.2670,15453
1974,107595,104206,21161,12292000,193585,56154,1291754,0.0113,0.2612,15101
1975,109104,112285,21272,13165000,239129,51833,1346476,0.0113,0.2543,15703
1976,110573,116871,21276,11772000,207838,47766,1408946,0.0114,0.2492,16508
1977,111940,122349,21307,13095000,259736,45784,1487855,0.0112,0.2432,17403
1978,113094,131218,21307,12589000,226579,42003,1538823,0.0110,0.2384,18504
1979,114165,137939,21322,11958000,178210,38049,1604589,0.0108,0.2334,19490
1980,115190,143698,21322,9751000,193135,37189,1645589,0.0107,0.2287,20408
1981,116155,150041,21419,10259000,200909,36234,1701461,0.0105,0.2250,19954
1982,117060,154645,21387,10270000,225529,33566,1745616,0.0102,0.2225,19602
1983,117902,159232,21319,10366000,255183,32006,1798708,0.0099,0.2193,19052
1984,118728,163290,21019,11878000,270427,30975,1872852,0.0097,0.2161,18897
1985,119536,169399,20788,11662000,246624,29642,1902956,0.0096,0.2134,19017
1986,120305,173808,19639,11647000,255178,24532,1950664,0.0094,0.2117,20373
1987,121049,179107,21271,10627000,263889,18736,2000227,0.0092,0.2089,21518
1988,121660,181708,21015,9935000,252328,14466,2071311,0.0088,0.2048,23400
1989,122239,186231,20241,10347000,262249,11370,2175725,0.0085,0.2005,24869
1990,122745,194730,20252,10499000,253693,9837,2281721,0.0083,0.1960,26341
1991,123205,199985,20203,9604000,196783,9153,2418567,0.0080,0.1915,28111
1992,123611,205133,20217,10573000,351344,8117,2502858,0.0079,0.1886,29064
1993,124101,212914,20213,7834000,339193,7410,2561830,0.0079,0.1855,29967
1994,124567,220898,20219,11981000,318424,6432,2608444,0.0078,0.1824,30728
1995,124938,226994,20013,10748000,352864,5485,2650201,0.0078,0.1791,32146
1996,125265,233737,20002,10344000,524327,5211,2694812,0.0077,0.1756,32540
1997,125570,242447,20059,10025000,488484,3723,2667689,0.0077,0.1722,32662
1998,125859,250290,20059,8960000,345291,3681,2699881,0.0077,0.1696,32132
1999,126157,253544,20057,9175000,337056,3600,2730482,0.0077,0.1669,31980
2000,126472,258838,20051,9490000,272899,3236,2766457,0.0077,0.1639,33294
2001,126667,261730,20050,9057000,257665,2110,2791841,0.0077,0.1608,33086
2002,126926,266129,20039,8889000,264428,1209,2806347,0.0078,0.1578,33215
2003,127316,268287,20014,7792000,270115,1246,2790489,0.0079,0.1546,33576
